period ,district ,flood incidence
20160726,405 Kaski,1
20160725,405 Kaski,1
20190729,405 Kaski,1
20190811,405 Kaski,1
20220801,405 Kaski,1
20210615,405 Kaski,1
20170809,405 Kaski,1
20160715,405 Kaski,1
20210901,405 Kaski,1
20230626,405 Kaski,1
20160908,405 Kaski,1
20210902,405 Kaski,1
20180716,405 Kaski,1
20170711,405 Kaski,1
20190623,405 Kaski,1
20160917,405 Kaski,1
20160831,405 Kaski,1
20200917,405 Kaski,1
20220618,406 Lamjung,1
20190724,406 Lamjung,1
20160920,406 Lamjung,1
20210615,406 Lamjung,1
20180912,406 Lamjung,1
20161003,406 Lamjung,1
20230706,406 Lamjung,1
20210616,406 Lamjung,1
20160528,406 Lamjung,1
20190818,406 Lamjung,1
20190623,406 Lamjung,1
20190714,407 Tanahu,1
20210701,407 Tanahu,1
20180801,407 Tanahu,1
20170710,407 Tanahu,1
20210702,407 Tanahu,1
20210708,407 Tanahu,1
20210615,407 Tanahu,1
20210703,407 Tanahu,1
20160715,407 Tanahu,1
20211021,408 Nawalparasi East,1
20200923,408 Nawalparasi East,1
20200711,408 Nawalparasi East,1
20210708,408 Nawalparasi East,1
20210827,408 Nawalparasi East,1
20210716,408 Nawalparasi East,1
20170803,409 Syangja,1
20190712,409 Syangja,1
20170701,409 Syangja,1
20160726,409 Syangja,1
20160809,409 Syangja,1
20210703,409 Syangja,1
20170702,409 Syangja,1
20210616,409 Syangja,1
20170709,410 Parbat,1
20160908,410 Parbat,1
20170702,410 Parbat,1
20230930,410 Parbat,1
20180617,411 Baglung,1
20211019,411 Baglung,1
20160726,411 Baglung,1
20221006,411 Baglung,1
20170730,411 Baglung,1
20160705,411 Baglung,1
20160729,411 Baglung,1
20190405,411 Baglung,1
20200903,411 Baglung,1
20160728,411 Baglung,1
20180625,411 Baglung,1
20210616,411 Baglung,1
20210922,411 Baglung,1
20190818,411 Baglung,1
20230624,501 Rukum East,1
20230813,501 Rukum East,1
20150821,502 Rolpa,1
20210812,502 Rolpa,1
20210906,502 Rolpa,1
20160512,502 Rolpa,1
20200821,502 Rolpa,1
20160814,502 Rolpa,1
20160805,502 Rolpa,1
20200612,503 Pyuthan,1
20190727,503 Pyuthan,1
20211020,503 Pyuthan,1
20230627,503 Pyuthan,1
20160726,503 Pyuthan,1
20200703,503 Pyuthan,1
20210615,503 Pyuthan,1
20221006,503 Pyuthan,1
20221007,503 Pyuthan,1
20230721,503 Pyuthan,1
20160815,503 Pyuthan,1
20160829,503 Pyuthan,1
20180426,503 Pyuthan,1
20180707,503 Pyuthan,1
20211019,504 Gulmi,1
20160726,504 Gulmi,1
20160719,504 Gulmi,1
20160722,504 Gulmi,1
20160801,504 Gulmi,1
20160724,504 Gulmi,1
20160726,505 Arghakhanchi,1
20221006,505 Arghakhanchi,1
20210616,505 Arghakhanchi,1
20160822,505 Arghakhanchi,1
20170710,506 Palpa,1
20200720,506 Palpa,1
20200925,506 Palpa,1
20200620,506 Palpa,1
20221007,506 Palpa,1
20200714,506 Palpa,1
20210616,506 Palpa,1
20170804,506 Palpa,1
20200918,506 Palpa,1
20170815,506 Palpa,1
20170923,506 Palpa,1
20180702,507 Nawalparasi West,1
20200721,507 Nawalparasi West,1
20200801,507 Nawalparasi West,1
20230525,507 Nawalparasi West,1
20190724,508 Rupandehi,1
20200924,508 Rupandehi,1
20160726,508 Rupandehi,1
20160725,508 Rupandehi,1
20170813,508 Rupandehi,1
20170814,508 Rupandehi,1
20170816,508 Rupandehi,1
20210827,508 Rupandehi,1
20210615,508 Rupandehi,1
20230725,508 Rupandehi,1
20210529,508 Rupandehi,1
20170804,508 Rupandehi,1
20210714,508 Rupandehi,1
20200918,508 Rupandehi,1
20210617,508 Rupandehi,1
20160723,509 Kapilbastu,1
20170803,509 Kapilbastu,1
20190714,509 Kapilbastu,1
20200923,509 Kapilbastu,1
20170802,509 Kapilbastu,1
20211020,509 Kapilbastu,1
20160726,509 Kapilbastu,1
20170814,509 Kapilbastu,1
20160923,509 Kapilbastu,1
20160705,509 Kapilbastu,1
20220802,509 Kapilbastu,1
20230319,509 Kapilbastu,1
20230320,509 Kapilbastu,1
20190714,510 Dang,1
20190713,510 Dang,1
20210705,510 Dang,1
20190712,510 Dang,1
20190711,510 Dang,1
20200710,510 Dang,1
20160726,510 Dang,1
20170812,510 Dang,1
20170813,510 Dang,1
20170816,510 Dang,1
20210827,510 Dang,1
20160907,510 Dang,1
20170809,510 Dang,1
20180805,510 Dang,1
20210901,510 Dang,1
20160702,510 Dang,1
20210628,510 Dang,1
20200914,510 Dang,1
20210714,510 Dang,1
20210623,510 Dang,1
20170815,510 Dang,1
