,,
periodname,organisationunitname,Outpatient Morbidity-Communicable-Water/Food Borne-Typhoid (Enteric Fever) Cases
Falgun 2078,605 KALIKOT,57
Falgun 2078,5 Lumbini Province,"3,538"
Falgun 2078,610 SURKHET,827
Falgun 2078,503 PYUTHAN,148
Falgun 2078,1 Koshi Province,"3,176"
Falgun 2078,512 BARDIYA,294
Falgun 2078,511 BANKE,552
Falgun 2078,609 SALYAN,418
Falgun 2078,409 SYANGJA,245
Falgun 2078,310 RAMECHHAP,75
Falgun 2078,206 RAUTAHAT ,686
Falgun 2078,703 DARCHULA,93
Falgun 2078,505 ARGHAKHANCHI,195
Falgun 2078,607 JAJARKOT,391
Falgun 2078,109 PANCHTHAR,138
Falgun 2079,102 SANKHUWASABHA,91
Falgun 2079,305 NUWAKOT,143
Falgun 2079,111 JHAPA,791
Falgun 2079,301 DOLAKHA,55
Falgun 2079,510 DANG,294
Falgun 2079,309 KAVREPALANCHOK,225
Falgun 2079,409 SYANGJA,131
Falgun 2079,704 BAITADI,86
Falgun 2079,608 RUKUM WEST,458
Falgun 2079,607 JAJARKOT,367
Falgun 2079,202 SIRAHA,682
Falgun 2079,7 Sudurpashchim Province,"2,263"
Falgun 2079,6 Karnali Province,"2,187"
Falgun 2079,204 MAHOTTARI,519
Falgun 2079,5 Lumbini Province,"3,431"
Falgun 2079,110 ILAM,39
Falgun 2079,108 TERHATHUM,46
Falgun 2079,207 BARA,451
Falgun 2079,1 Koshi Province,"2,646"
Falgun 2079,2 Madhesh Province,"4,647"
Falgun 2079,401 GORKHA,112
Falgun 2079,411 BAGLUNG,407
Falgun 2079,407 TANAHU,97
Falgun 2079,203 DHANUSA,634
Falgun 2079,404 MYAGDI,2
Falgun 2079,708 KAILALI,472
Falgun 2079,605 KALIKOT,50
Falgun 2079,703 DARCHULA,112
Falgun 2079,310 RAMECHHAP,148
Falgun 2079,604 JUMLA,43
Falgun 2079,706 DOTI,542
Falgun 2079,109 PANCHTHAR,68
Falgun 2079,610 SURKHET,565
Falgun 2079,609 SALYAN,419
Falgun 2079,512 BARDIYA,341
Falgun 2079,304 DHADING,120
Falgun 2079,503 PYUTHAN,207
Falgun 2079,508 RUPANDEHI,733
Falgun 2079,303 RASUWA,16
Falgun 2079,601 DOLPA,13
Falgun 2079,702 BAJHANG,420
Falgun 2079,107 DHANKUTA,19
Falgun 2079,113 SUNSARI,190
Falgun 2079,206 RAUTAHAT ,678
Falgun 2079,701 BAJURA,142
Falgun 2079,106 BHOJPUR,43
Falgun 2079,408 NAWALPARASI EAST,141
Falgun 2079,201 SAPTARI,289
Falgun 2079,104 OKHALDHUNGA,75
Falgun 2079,308 LALITPUR,161
Falgun 2079,4 Gandaki Province,"1,671"
Falgun 2079,505 ARGHAKHANCHI,70
Falgun 2079,509 KAPILBASTU,375
Falgun 2079,Nepal,"19,545"
Falgun 2079,306 KATHMANDU,873
Falgun 2079,313 CHITWAN,357
Falgun 2079,405 KASKI,644
Falgun 2079,501 RUKUM EAST,100
Falgun 2079,705 DADELDHURA,88
Falgun 2079,606 DAILEKH,202
Falgun 2079,502 ROLPA,378
Falgun 2079,511 BANKE,483
Falgun 2079,103 SOLUKHUMBU,76
Falgun 2079,707 ACHHAM,48
Falgun 2079,312 MAKWANPUR,163
Falgun 2079,507 NAWALPARASI WEST,183
Falgun 2079,208 PARSA,460
Falgun 2079,3 Bagmati Province,"2,700"
Falgun 2079,114 UDAYAPUR,323
Falgun 2079,709 KANCHANPUR,353
Falgun 2079,205 SARLAHI,934
Falgun 2079,603 HUMLA,17
Falgun 2079,406 LAMJUNG,77
Falgun 2079,506 PALPA,68
Falgun 2079,410 PARBAT,56
Falgun 2079,504 GULMI,199
Falgun 2079,112 MORANG,755
Falgun 2079,105 KHOTANG,86
Falgun 2079,602 MUGU,53
Falgun 2079,101 TAPLEJUNG,44
Falgun 2079,403 MUSTANG,4
Falgun 2079,307 BHAKTAPUR,88
Falgun 2079,311 SINDHULI,276
Falgun 2079,302 SINDHUPALCHOK,75
Falgun 2080,5 Lumbini Province,"3,325"
Falgun 2080,411 BAGLUNG,105
Falgun 2080,610 SURKHET,362
Falgun 2080,1 Koshi Province,"2,645"
Falgun 2080,407 TANAHU,167
Falgun 2080,706 DOTI,266
Falgun 2080,512 BARDIYA,290
Falgun 2080,603 HUMLA,7
Falgun 2080,608 RUKUM WEST,187
Falgun 2080,605 KALIKOT,58
Falgun 2080,7 Sudurpashchim Province,"1,793"
Falgun 2080,208 PARSA,666
Falgun 2080,304 DHADING,147
Falgun 2080,402 MANANG,3
Falgun 2080,305 NUWAKOT,94
Falgun 2080,409 SYANGJA,193
Falgun 2080,609 SALYAN,254
Falgun 2080,310 RAMECHHAP,43
Falgun 2080,703 DARCHULA,83
Falgun 2080,602 MUGU,53
Falgun 2080,309 KAVREPALANCHOK,202
Falgun 2080,307 BHAKTAPUR,105
Falgun 2080,312 MAKWANPUR,144
Falgun 2080,105 KHOTANG,55
Falgun 2080,4 Gandaki Province,"1,713"
Falgun 2080,Nepal,"19,378"
Falgun 2080,204 MAHOTTARI,817
Falgun 2080,701 BAJURA,137
Falgun 2080,101 TAPLEJUNG,43
Falgun 2080,207 BARA,490
Falgun 2080,110 ILAM,17
Falgun 2080,410 PARBAT,59
Falgun 2080,601 DOLPA,7
Falgun 2080,6 Karnali Province,"1,421"
Falgun 2080,506 PALPA,136
Falgun 2080,102 SANKHUWASABHA,65
Falgun 2080,202 SIRAHA,709
Falgun 2080,604 JUMLA,75
Falgun 2080,704 BAITADI,92
Falgun 2080,114 UDAYAPUR,304
Falgun 2080,3 Bagmati Province,"2,681"
Falgun 2080,709 KANCHANPUR,336
Falgun 2080,707 ACHHAM,64
Falgun 2080,111 JHAPA,952
Falgun 2080,404 MYAGDI,6
Falgun 2080,705 DADELDHURA,100
Falgun 2080,301 DOLAKHA,96
Falgun 2080,103 SOLUKHUMBU,15
Falgun 2080,501 RUKUM EAST,93
Falgun 2080,606 DAILEKH,130
Falgun 2080,509 KAPILBASTU,334
Falgun 2080,203 DHANUSA,761
Falgun 2080,2 Madhesh Province,"5,800"
Falgun 2080,109 PANCHTHAR,54
Falgun 2080,112 MORANG,651
Falgun 2080,313 CHITWAN,256
Falgun 2080,106 BHOJPUR,42
Falgun 2080,708 KAILALI,410
Falgun 2080,306 KATHMANDU,964
Falgun 2080,201 SAPTARI,315
Falgun 2080,505 ARGHAKHANCHI,89
Falgun 2080,504 GULMI,173
Falgun 2080,205 SARLAHI,"1,069"
Falgun 2080,308 LALITPUR,193
Falgun 2080,311 SINDHULI,334
Falgun 2080,107 DHANKUTA,24
Falgun 2080,507 NAWALPARASI WEST,286
Falgun 2080,113 SUNSARI,270
Falgun 2080,206 RAUTAHAT ,973
Falgun 2080,508 RUPANDEHI,648
Falgun 2080,406 LAMJUNG,109
Falgun 2080,302 SINDHUPALCHOK,92
Falgun 2080,503 PYUTHAN,105
Falgun 2080,408 NAWALPARASI EAST,210
Falgun 2080,607 JAJARKOT,288
Falgun 2080,502 ROLPA,419
Falgun 2080,108 TERHATHUM,84
Falgun 2080,510 DANG,416
Falgun 2080,702 BAJHANG,305
Falgun 2080,104 OKHALDHUNGA,69
Falgun 2080,303 RASUWA,11
Falgun 2080,511 BANKE,336
Falgun 2080,405 KASKI,802
Falgun 2080,401 GORKHA,59
Jestha 2072,504 GULMI,757
Jestha 2072,708 KAILALI,"1,334"
Jestha 2072,203 DHANUSA,"1,553"
Jestha 2072,313 CHITWAN,468
Jestha 2072,503 PYUTHAN,672
Jestha 2072,406 LAMJUNG,269
Jestha 2072,107 DHANKUTA,288
Jestha 2072,303 RASUWA,83
Jestha 2072,112 MORANG,"1,459"
Jestha 2072,109 PANCHTHAR,159
Jestha 2072,308 LALITPUR,304
Jestha 2072,505 ARGHAKHANCHI,359
Jestha 2072,202 SIRAHA,"1,005"
Jestha 2072,110 ILAM,346
Jestha 2072,306 KATHMANDU,954
Jestha 2072,104 OKHALDHUNGA,369
Jestha 2072,6 Karnali Province,"4,346"
Jestha 2072,4 Gandaki Province,"4,993"
Jestha 2072,701 BAJURA,293
Jestha 2072,207 BARA,591
Jestha 2072,204 MAHOTTARI,"1,120"
Jestha 2072,607 JAJARKOT,332
Jestha 2072,509 KAPILBASTU,980
Jestha 2072,508 RUPANDEHI,"1,433"
Jestha 2072,206 RAUTAHAT ,834
Jestha 2072,704 BAITADI,403
Jestha 2072,103 SOLUKHUMBU,165
Jestha 2072,304 DHADING,950
Jestha 2072,2 Madhesh Province,"7,292"
Jestha 2072,Nepal,"45,105"
Jestha 2072,604 JUMLA,108
Jestha 2072,7 Sudurpashchim Province,"5,497"
Jestha 2072,113 SUNSARI,404
Jestha 2072,608 RUKUM WEST,339
Jestha 2072,601 DOLPA,44
Jestha 2072,309 KAVREPALANCHOK,994
Jestha 2072,102 SANKHUWASABHA,417
Jestha 2072,201 SAPTARI,662
Jestha 2072,605 KALIKOT,98
Jestha 2072,603 HUMLA,69
Jestha 2072,407 TANAHU,562
Jestha 2072,706 DOTI,193
Jestha 2072,1 Koshi Province,"6,557"
Jestha 2072,512 BARDIYA,902
Jestha 2072,312 MAKWANPUR,306
Jestha 2072,404 MYAGDI,125
Jestha 2072,610 SURKHET,"1,202"
Jestha 2072,411 BAGLUNG,955
Jestha 2072,310 RAMECHHAP,287
Jestha 2072,506 PALPA,619
Jestha 2072,501 RUKUM EAST,256
Jestha 2072,410 PARBAT,305
Jestha 2072,609 SALYAN,826
Jestha 2072,705 DADELDHURA,986
Jestha 2072,409 SYANGJA,649
Jestha 2072,511 BANKE,658
Jestha 2072,703 DARCHULA,324
Jestha 2072,111 JHAPA,"1,324"
Jestha 2072,709 KANCHANPUR,744
Jestha 2072,606 DAILEKH,"1,262"
Jestha 2072,707 ACHHAM,447
Jestha 2072,114 UDAYAPUR,444
Jestha 2072,208 PARSA,525
Jestha 2072,3 Bagmati Province,"7,435"
Jestha 2072,301 DOLAKHA,357
Jestha 2072,5 Lumbini Province,"8,985"
Jestha 2072,302 SINDHUPALCHOK,925
Jestha 2072,108 TERHATHUM,258
Jestha 2072,405 KASKI,"1,231"
Jestha 2072,101 TAPLEJUNG,233
Jestha 2072,307 BHAKTAPUR,147
Jestha 2072,502 ROLPA,708
Jestha 2072,408 NAWALPARASI EAST,324
Jestha 2072,401 GORKHA,566
Jestha 2072,311 SINDHULI,896
Jestha 2072,105 KHOTANG,366
Jestha 2072,402 MANANG,7
Jestha 2072,602 MUGU,66
Jestha 2072,205 SARLAHI,"1,002"
Jestha 2072,702 BAJHANG,773
Jestha 2072,305 NUWAKOT,764
Jestha 2072,507 NAWALPARASI WEST,506
Jestha 2072,510 DANG,"1,135"
Jestha 2072,106 BHOJPUR,325
Jestha 2073,508 RUPANDEHI,"1,927"
Jestha 2073,204 MAHOTTARI,"1,233"
Jestha 2073,401 GORKHA,326
Jestha 2073,203 DHANUSA,"1,476"
Jestha 2073,101 TAPLEJUNG,300
Jestha 2073,207 BARA,"1,623"
Jestha 2073,406 LAMJUNG,352
Jestha 2073,510 DANG,"1,106"
Jestha 2073,307 BHAKTAPUR,341
Jestha 2073,504 GULMI,712
Jestha 2073,309 KAVREPALANCHOK,672
Jestha 2073,305 NUWAKOT,512
Jestha 2073,507 NAWALPARASI WEST,611
Jestha 2073,205 SARLAHI,"1,091"
Jestha 2073,7 Sudurpashchim Province,"4,203"
Jestha 2073,102 SANKHUWASABHA,409
Jestha 2073,306 KATHMANDU,"1,506"
Jestha 2073,602 MUGU,67
Jestha 2073,608 RUKUM WEST,413
Jestha 2073,407 TANAHU,556
Jestha 2073,112 MORANG,"1,284"
Jestha 2073,704 BAITADI,348
Jestha 2073,311 SINDHULI,949
Jestha 2073,411 BAGLUNG,923
Jestha 2073,107 DHANKUTA,269
Jestha 2073,2 Madhesh Province,"9,357"
Jestha 2073,103 SOLUKHUMBU,103
Jestha 2073,301 DOLAKHA,171
Jestha 2073,603 HUMLA,91
Jestha 2073,114 UDAYAPUR,541
Jestha 2073,707 ACHHAM,316
Jestha 2073,709 KANCHANPUR,552
Jestha 2073,308 LALITPUR,"1,132"
Jestha 2073,208 PARSA,962
Jestha 2073,6 Karnali Province,"3,827"
Jestha 2073,111 JHAPA,"1,336"
Jestha 2073,705 DADELDHURA,462
Jestha 2073,202 SIRAHA,"1,205"
Jestha 2073,506 PALPA,524
Jestha 2073,110 ILAM,174
Jestha 2073,3 Bagmati Province,"7,555"
Jestha 2073,511 BANKE,575
Jestha 2073,606 DAILEKH,"1,050"
Jestha 2073,509 KAPILBASTU,824
Jestha 2073,501 RUKUM EAST,181
Jestha 2073,402 MANANG,3
Jestha 2073,410 PARBAT,340
Jestha 2073,105 KHOTANG,338
Jestha 2073,Nepal,"45,363"
Jestha 2073,302 SINDHUPALCHOK,401
Jestha 2073,703 DARCHULA,187
Jestha 2073,310 RAMECHHAP,344
Jestha 2073,312 MAKWANPUR,330
Jestha 2073,609 SALYAN,733
Jestha 2073,403 MUSTANG,7
Jestha 2073,701 BAJURA,475
Jestha 2073,512 BARDIYA,701
Jestha 2073,404 MYAGDI,115
Jestha 2073,408 NAWALPARASI EAST,441
Jestha 2073,706 DOTI,204
Jestha 2073,4 Gandaki Province,"5,631"
Jestha 2073,201 SAPTARI,624
Jestha 2073,604 JUMLA,112
Jestha 2073,113 SUNSARI,447
Jestha 2073,702 BAJHANG,640
Jestha 2073,601 DOLPA,65
Jestha 2073,605 KALIKOT,158
Jestha 2073,106 BHOJPUR,318
Jestha 2073,505 ARGHAKHANCHI,302
Jestha 2073,304 DHADING,591
Jestha 2073,503 PYUTHAN,465
Jestha 2073,206 RAUTAHAT ,"1,143"
Jestha 2073,313 CHITWAN,556
Jestha 2073,409 SYANGJA,629
Jestha 2073,610 SURKHET,824
Jestha 2073,104 OKHALDHUNGA,367
Jestha 2073,607 JAJARKOT,314
Jestha 2073,708 KAILALI,"1,019"
Jestha 2073,405 KASKI,"1,939"
Jestha 2073,502 ROLPA,538
Jestha 2073,1 Koshi Province,"6,324"
Jestha 2073,5 Lumbini Province,"8,466"
Jestha 2073,109 PANCHTHAR,209
Jestha 2073,303 RASUWA,50
Jestha 2073,108 TERHATHUM,229
Jestha 2074,407 TANAHU,381
Jestha 2074,610 SURKHET,921
Jestha 2074,706 DOTI,230
Jestha 2074,411 BAGLUNG,815
Jestha 2074,1 Koshi Province,"8,393"
Jestha 2074,512 BARDIYA,519
Jestha 2074,603 HUMLA,193
Jestha 2074,608 RUKUM WEST,252
Jestha 2074,409 SYANGJA,362
Jestha 2074,704 BAITADI,275
Jestha 2074,208 PARSA,517
Jestha 2074,703 DARCHULA,194
Jestha 2074,709 KANCHANPUR,640
Jestha 2074,111 JHAPA,"1,116"
Jestha 2074,2 Madhesh Province,"6,922"
Jestha 2074,501 RUKUM EAST,183
Jestha 2074,606 DAILEKH,719
Jestha 2074,511 BANKE,620
Jestha 2074,506 PALPA,591
Jestha 2074,707 ACHHAM,310
Jestha 2074,705 DADELDHURA,362
Jestha 2074,114 UDAYAPUR,"1,613"
Jestha 2074,301 DOLAKHA,173
Jestha 2074,3 Bagmati Province,"6,698"
Jestha 2074,5 Lumbini Province,"6,922"
Jestha 2074,108 TERHATHUM,244
Jestha 2074,Nepal,"40,751"
Jestha 2074,207 BARA,628
Jestha 2074,204 MAHOTTARI,"1,068"
Jestha 2074,607 JAJARKOT,297
Jestha 2074,509 KAPILBASTU,699
Jestha 2074,508 RUPANDEHI,633
Jestha 2074,4 Gandaki Province,"4,468"
Jestha 2074,103 SOLUKHUMBU,137
Jestha 2074,609 SALYAN,515
Jestha 2074,310 RAMECHHAP,291
Jestha 2074,113 SUNSARI,325
Jestha 2074,304 DHADING,641
Jestha 2074,404 MYAGDI,88
Jestha 2074,201 SAPTARI,783
Jestha 2074,7 Sudurpashchim Province,"4,131"
Jestha 2074,604 JUMLA,102
Jestha 2074,102 SANKHUWASABHA,380
Jestha 2074,309 KAVREPALANCHOK,595
Jestha 2074,605 KALIKOT,64
Jestha 2074,601 DOLPA,70
Jestha 2074,701 BAJURA,514
Jestha 2074,112 MORANG,"2,987"
Jestha 2074,503 PYUTHAN,534
Jestha 2074,505 ARGHAKHANCHI,365
Jestha 2074,109 PANCHTHAR,109
Jestha 2074,708 KAILALI,"1,072"
Jestha 2074,107 DHANKUTA,174
Jestha 2074,313 CHITWAN,685
Jestha 2074,406 LAMJUNG,360
Jestha 2074,203 DHANUSA,"1,149"
Jestha 2074,206 RAUTAHAT ,"1,017"
Jestha 2074,308 LALITPUR,609
Jestha 2074,306 KATHMANDU,"1,465"
Jestha 2074,104 OKHALDHUNGA,196
Jestha 2074,502 ROLPA,500
Jestha 2074,303 RASUWA,14
Jestha 2074,110 ILAM,182
Jestha 2074,101 TAPLEJUNG,226
Jestha 2074,105 KHOTANG,364
Jestha 2074,202 SIRAHA,930
Jestha 2074,408 NAWALPARASI EAST,383
Jestha 2074,6 Karnali Province,"3,217"
Jestha 2074,403 MUSTANG,18
Jestha 2074,302 SINDHUPALCHOK,431
Jestha 2074,401 GORKHA,463
Jestha 2074,405 KASKI,"1,193"
Jestha 2074,410 PARBAT,403
Jestha 2074,205 SARLAHI,830
Jestha 2074,311 SINDHULI,809
Jestha 2074,702 BAJHANG,534
Jestha 2074,402 MANANG,2
Jestha 2074,312 MAKWANPUR,168
Jestha 2074,106 BHOJPUR,340
Jestha 2074,504 GULMI,398
Jestha 2074,602 MUGU,84
Jestha 2074,307 BHAKTAPUR,242
Jestha 2074,507 NAWALPARASI WEST,669
Jestha 2074,305 NUWAKOT,575
Jestha 2074,510 DANG,"1,211"
Jestha 2075,602 MUGU,82
Jestha 2075,610 SURKHET,712
Jestha 2075,5 Lumbini Province,"7,452"
Jestha 2075,409 SYANGJA,417
Jestha 2075,512 BARDIYA,368
Jestha 2075,411 BAGLUNG,756
Jestha 2075,304 DHADING,543
Jestha 2075,1 Koshi Province,"5,902"
Jestha 2075,407 TANAHU,343
Jestha 2075,2 Madhesh Province,"6,201"
Jestha 2075,707 ACHHAM,338
Jestha 2075,312 MAKWANPUR,151
Jestha 2075,3 Bagmati Province,"7,246"
Jestha 2075,114 UDAYAPUR,437
Jestha 2075,709 KANCHANPUR,687
Jestha 2075,111 JHAPA,"1,205"
Jestha 2075,703 DARCHULA,165
Jestha 2075,603 HUMLA,198
Jestha 2075,301 DOLAKHA,433
Jestha 2075,607 JAJARKOT,168
Jestha 2075,108 TERHATHUM,247
Jestha 2075,506 PALPA,567
Jestha 2075,410 PARBAT,317
Jestha 2075,202 SIRAHA,726
Jestha 2075,208 PARSA,360
Jestha 2075,6 Karnali Province,"3,347"
Jestha 2075,204 MAHOTTARI,"1,356"
Jestha 2075,207 BARA,943
Jestha 2075,110 ILAM,198
Jestha 2075,609 SALYAN,558
Jestha 2075,310 RAMECHHAP,323
Jestha 2075,705 DADELDHURA,164
Jestha 2075,501 RUKUM EAST,161
Jestha 2075,606 DAILEKH,877
Jestha 2075,Nepal,"38,265"
Jestha 2075,103 SOLUKHUMBU,109
Jestha 2075,508 RUPANDEHI,"1,676"
Jestha 2075,203 DHANUSA,"1,174"
Jestha 2075,509 KAPILBASTU,688
Jestha 2075,601 DOLPA,60
Jestha 2075,309 KAVREPALANCHOK,555
Jestha 2075,404 MYAGDI,162
Jestha 2075,605 KALIKOT,168
Jestha 2075,704 BAITADI,181
Jestha 2075,113 SUNSARI,287
Jestha 2075,701 BAJURA,406
Jestha 2075,201 SAPTARI,430
Jestha 2075,608 RUKUM WEST,439
Jestha 2075,706 DOTI,276
Jestha 2075,102 SANKHUWASABHA,295
Jestha 2075,4 Gandaki Province,"4,739"
Jestha 2075,604 JUMLA,85
Jestha 2075,7 Sudurpashchim Province,"3,378"
Jestha 2075,313 CHITWAN,498
Jestha 2075,112 MORANG,"1,686"
Jestha 2075,306 KATHMANDU,"2,527"
Jestha 2075,311 SINDHULI,481
Jestha 2075,503 PYUTHAN,444
Jestha 2075,303 RASUWA,42
Jestha 2075,406 LAMJUNG,308
Jestha 2075,708 KAILALI,695
Jestha 2075,206 RAUTAHAT ,"1,048"
Jestha 2075,107 DHANKUTA,253
Jestha 2075,308 LALITPUR,665
Jestha 2075,109 PANCHTHAR,151
Jestha 2075,104 OKHALDHUNGA,213
Jestha 2075,505 ARGHAKHANCHI,265
Jestha 2075,511 BANKE,925
Jestha 2075,101 TAPLEJUNG,185
Jestha 2075,402 MANANG,2
Jestha 2075,302 SINDHUPALCHOK,336
Jestha 2075,403 MUSTANG,6
Jestha 2075,502 ROLPA,396
Jestha 2075,307 BHAKTAPUR,401
Jestha 2075,205 SARLAHI,164
Jestha 2075,105 KHOTANG,289
Jestha 2075,401 GORKHA,514
Jestha 2075,405 KASKI,"1,828"
Jestha 2075,305 NUWAKOT,291
Jestha 2075,507 NAWALPARASI WEST,372
Jestha 2075,702 BAJHANG,466
Jestha 2075,510 DANG,894
Jestha 2075,408 NAWALPARASI EAST,86
Jestha 2075,106 BHOJPUR,347
Jestha 2075,504 GULMI,696
Jestha 2076,509 KAPILBASTU,545
Jestha 2076,Nepal,"37,721"
Jestha 2076,105 KHOTANG,202
Jestha 2076,405 KASKI,"1,911"
Jestha 2076,501 RUKUM EAST,170
Jestha 2076,705 DADELDHURA,225
Jestha 2076,403 MUSTANG,7
Jestha 2076,606 DAILEKH,638
Jestha 2076,511 BANKE,919
Jestha 2076,502 ROLPA,646
Jestha 2076,302 SINDHUPALCHOK,309
Jestha 2076,103 SOLUKHUMBU,31
Jestha 2076,402 MANANG,7
Jestha 2076,709 KANCHANPUR,491
Jestha 2076,3 Bagmati Province,"5,780"
Jestha 2076,208 PARSA,288
Jestha 2076,303 RASUWA,17
Jestha 2076,206 RAUTAHAT ,884
Jestha 2076,114 UDAYAPUR,488
Jestha 2076,312 MAKWANPUR,256
Jestha 2076,707 ACHHAM,285
Jestha 2076,603 HUMLA,133
Jestha 2076,703 DARCHULA,103
Jestha 2076,609 SALYAN,523
Jestha 2076,107 DHANKUTA,147
Jestha 2076,310 RAMECHHAP,221
Jestha 2076,410 PARBAT,260
Jestha 2076,104 OKHALDHUNGA,264
Jestha 2076,506 PALPA,740
Jestha 2076,505 ARGHAKHANCHI,285
Jestha 2076,308 LALITPUR,525
Jestha 2076,306 KATHMANDU,"1,591"
Jestha 2076,610 SURKHET,"1,942"
Jestha 2076,512 BARDIYA,615
Jestha 2076,304 DHADING,318
Jestha 2076,503 PYUTHAN,483
Jestha 2076,411 BAGLUNG,818
Jestha 2076,2 Madhesh Province,"6,512"
Jestha 2076,407 TANAHU,333
Jestha 2076,404 MYAGDI,86
Jestha 2076,102 SANKHUWASABHA,420
Jestha 2076,601 DOLPA,99
Jestha 2076,605 KALIKOT,280
Jestha 2076,309 KAVREPALANCHOK,402
Jestha 2076,113 SUNSARI,315
Jestha 2076,701 BAJURA,284
Jestha 2076,704 BAITADI,217
Jestha 2076,608 RUKUM WEST,518
Jestha 2076,201 SAPTARI,355
Jestha 2076,604 JUMLA,107
Jestha 2076,706 DOTI,339
Jestha 2076,7 Sudurpashchim Province,"3,630"
Jestha 2076,4 Gandaki Province,"4,666"
Jestha 2076,101 TAPLEJUNG,133
Jestha 2076,6 Karnali Province,"4,569"
Jestha 2076,204 MAHOTTARI,"1,441"
Jestha 2076,110 ILAM,192
Jestha 2076,207 BARA,452
Jestha 2076,108 TERHATHUM,250
Jestha 2076,307 BHAKTAPUR,375
Jestha 2076,401 GORKHA,303
Jestha 2076,203 DHANUSA,"1,030"
Jestha 2076,508 RUPANDEHI,887
Jestha 2076,111 JHAPA,"1,470"
Jestha 2076,708 KAILALI,"1,184"
Jestha 2076,301 DOLAKHA,413
Jestha 2076,406 LAMJUNG,357
Jestha 2076,409 SYANGJA,363
Jestha 2076,607 JAJARKOT,270
Jestha 2076,202 SIRAHA,786
Jestha 2076,109 PANCHTHAR,139
Jestha 2076,112 MORANG,"1,261"
Jestha 2076,5 Lumbini Province,"7,064"
Jestha 2076,602 MUGU,59
Jestha 2076,313 CHITWAN,240
Jestha 2076,311 SINDHULI,758
Jestha 2076,1 Koshi Province,"5,500"
Jestha 2076,305 NUWAKOT,355
Jestha 2076,507 NAWALPARASI WEST,413
Jestha 2076,702 BAJHANG,502
Jestha 2076,205 SARLAHI,"1,276"
Jestha 2076,510 DANG,715
Jestha 2076,504 GULMI,646
Jestha 2076,106 BHOJPUR,188
Jestha 2076,408 NAWALPARASI EAST,221
Jestha 2077,705 DADELDHURA,29
Jestha 2077,402 MANANG,4
Jestha 2077,604 JUMLA,72
Jestha 2077,506 PALPA,194
Jestha 2077,3 Bagmati Province,"2,681"
Jestha 2077,703 DARCHULA,59
Jestha 2077,609 SALYAN,429
Jestha 2077,310 RAMECHHAP,85
Jestha 2077,511 BANKE,358
Jestha 2077,312 MAKWANPUR,163
Jestha 2077,114 UDAYAPUR,310
Jestha 2077,707 ACHHAM,140
Jestha 2077,606 DAILEKH,500
Jestha 2077,709 KANCHANPUR,274
Jestha 2077,501 RUKUM EAST,111
Jestha 2077,509 KAPILBASTU,285
Jestha 2077,302 SINDHUPALCHOK,229
Jestha 2077,1 Koshi Province,"2,869"
Jestha 2077,105 KHOTANG,150
Jestha 2077,502 ROLPA,383
Jestha 2077,610 SURKHET,628
Jestha 2077,5 Lumbini Province,"3,249"
Jestha 2077,603 HUMLA,29
Jestha 2077,208 PARSA,340
Jestha 2077,104 OKHALDHUNGA,133
Jestha 2077,410 PARBAT,197
Jestha 2077,308 LALITPUR,111
Jestha 2077,201 SAPTARI,279
Jestha 2077,7 Sudurpashchim Province,"2,388"
Jestha 2077,2 Madhesh Province,"4,319"
Jestha 2077,304 DHADING,429
Jestha 2077,111 JHAPA,667
Jestha 2077,306 KATHMANDU,434
Jestha 2077,206 RAUTAHAT ,409
Jestha 2077,113 SUNSARI,196
Jestha 2077,601 DOLPA,97
Jestha 2077,409 SYANGJA,271
Jestha 2077,704 BAITADI,571
Jestha 2077,309 KAVREPALANCHOK,169
Jestha 2077,103 SOLUKHUMBU,41
Jestha 2077,301 DOLAKHA,143
Jestha 2077,407 TANAHU,143
Jestha 2077,411 BAGLUNG,437
Jestha 2077,512 BARDIYA,272
Jestha 2077,Nepal,"21,520"
Jestha 2077,207 BARA,374
Jestha 2077,701 BAJURA,260
Jestha 2077,605 KALIKOT,303
Jestha 2077,404 MYAGDI,32
Jestha 2077,608 RUKUM WEST,628
Jestha 2077,102 SANKHUWASABHA,111
Jestha 2077,706 DOTI,213
Jestha 2077,4 Gandaki Province,"2,607"
Jestha 2077,205 SARLAHI,829
Jestha 2077,508 RUPANDEHI,246
Jestha 2077,406 LAMJUNG,414
Jestha 2077,507 NAWALPARASI WEST,95
Jestha 2077,204 MAHOTTARI,617
Jestha 2077,203 DHANUSA,525
Jestha 2077,503 PYUTHAN,499
Jestha 2077,607 JAJARKOT,659
Jestha 2077,101 TAPLEJUNG,88
Jestha 2077,108 TERHATHUM,52
Jestha 2077,110 ILAM,66
Jestha 2077,708 KAILALI,486
Jestha 2077,6 Karnali Province,"3,407"
Jestha 2077,109 PANCHTHAR,73
Jestha 2077,112 MORANG,835
Jestha 2077,202 SIRAHA,946
Jestha 2077,505 ARGHAKHANCHI,213
Jestha 2077,311 SINDHULI,422
Jestha 2077,107 DHANKUTA,61
Jestha 2077,602 MUGU,62
Jestha 2077,303 RASUWA,42
Jestha 2077,305 NUWAKOT,259
Jestha 2077,307 BHAKTAPUR,28
Jestha 2077,405 KASKI,702
Jestha 2077,408 NAWALPARASI EAST,85
Jestha 2077,401 GORKHA,322
Jestha 2077,313 CHITWAN,167
Jestha 2077,510 DANG,322
Jestha 2077,702 BAJHANG,356
Jestha 2077,106 BHOJPUR,86
Jestha 2077,504 GULMI,271
