,,
periodname,organisationunitname,Outpatient Morbidity-Communicable-Water/Food Borne-Typhoid (Enteric Fever) Cases
Asar 2075,111 JHAPA,"1,185"
Asar 2075,407 TANAHU,351
Asar 2075,305 NUWAKOT,422
Asar 2075,301 DOLAKHA,410
Asar 2075,307 BHAKTAPUR,368
Asar 2075,302 SINDHUPALCHOK,295
Asar 2075,406 LAMJUNG,242
Asar 2075,403 MUSTANG,10
Asar 2075,105 KHOTANG,284
Asar 2075,208 PARSA,345
Asar 2075,6 Karnali Province,"3,853"
Asar 2075,202 SIRAHA,781
Asar 2075,112 MORANG,"1,663"
Asar 2075,101 TAPLEJUNG,168
Asar 2075,308 LALITPUR,721
Asar 2075,603 HUMLA,171
Asar 2075,410 PARBAT,242
Asar 2075,501 RUKUM EAST,191
Asar 2075,310 RAMECHHAP,291
Asar 2075,609 SALYAN,602
Asar 2075,506 PALPA,643
Asar 2075,3 Bagmati Province,"7,503"
Asar 2075,312 MAKWANPUR,203
Asar 2075,509 KAPILBASTU,536
Asar 2075,705 DADELDHURA,236
Asar 2075,402 MANANG,2
Asar 2075,114 UDAYAPUR,364
Asar 2075,606 DAILEKH,841
Asar 2075,707 ACHHAM,299
Asar 2075,709 KANCHANPUR,822
Asar 2075,511 BANKE,668
Asar 2075,405 KASKI,"1,752"
Asar 2075,701 BAJURA,410
Asar 2075,605 KALIKOT,148
Asar 2075,411 BAGLUNG,773
Asar 2075,103 SOLUKHUMBU,80
Asar 2075,601 DOLPA,56
Asar 2075,702 BAJHANG,439
Asar 2075,Nepal,"37,429"
Asar 2075,706 DOTI,235
Asar 2075,604 JUMLA,130
Asar 2075,4 Gandaki Province,"4,272"
Asar 2075,404 MYAGDI,121
Asar 2075,408 NAWALPARASI EAST,94
Asar 2075,409 SYANGJA,368
Asar 2075,7 Sudurpashchim Province,"3,667"
Asar 2075,201 SAPTARI,445
Asar 2075,304 DHADING,580
Asar 2075,113 SUNSARI,296
Asar 2075,303 RASUWA,33
Asar 2075,5 Lumbini Province,"6,946"
Asar 2075,1 Koshi Province,"5,751"
Asar 2075,309 KAVREPALANCHOK,607
Asar 2075,512 BARDIYA,452
Asar 2075,502 ROLPA,458
Asar 2075,104 OKHALDHUNGA,180
Asar 2075,108 TERHATHUM,270
Asar 2075,503 PYUTHAN,430
Asar 2075,206 RAUTAHAT ,640
Asar 2075,610 SURKHET,"1,198"
Asar 2075,109 PANCHTHAR,174
Asar 2075,703 DARCHULA,252
Asar 2075,505 ARGHAKHANCHI,362
Asar 2075,607 JAJARKOT,240
Asar 2075,708 KAILALI,815
Asar 2076,411 BAGLUNG,874
Asar 2076,5 Lumbini Province,"7,220"
Asar 2076,610 SURKHET,"1,683"
Asar 2076,512 BARDIYA,535
Asar 2076,602 MUGU,58
Asar 2076,2 Madhesh Province,"6,251"
Asar 2076,1 Koshi Province,"5,712"
Asar 2076,407 TANAHU,251
Asar 2076,709 KANCHANPUR,451
Asar 2076,3 Bagmati Province,"6,078"
